"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"72",10072,1,23349,33.44571389,-86.73578611,1,1,2,1,19,6,0,8,0,1,1,0,1,3,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Alabama",0
"73",10073,1,23039,33.53994444,-86.87020833,1,1,2,6,23,6,0,8,0,1,1,0,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,2,2,"Alabama",0
"74",10074,1,23327,33.45167778,-86.8184,4,4,2,2,5,1,0,25,0,1,1,0,3,3,1,1,1,2,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"75",10075,1,25910,32.10455556,-86.40459167,4,4,2,3,18,2,0,12,0,1,1,0,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,"Alabama",1
"76",10076,1,26900,31.02139444,-88.23171389,1,1,2,6,10,2,0,18,0,1,1,1,5,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,"Alabama",0
"77",10077,1,24973,32.679275,-85.37018056,1,1,2,2,18,2,0,8,0,1,1,0,1,2,10,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,"Alabama",0
"78",10078,1,23778,33.2262,-87.53260833,1,1,2,3,15,2,0,1,0,1,1,0,1,1,10,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"79",10079,1,23510,33.38663333,-86.98794167,2,2,3,7,4,1,0,21,0,1,1,0,3,2,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"80",10080,1,25353,32.4551,-86.29180833,1,1,2,3,15,4,0,35,0,1,1,0,4,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,"Alabama",1
"81",10081,1,19778,34.71134167,-87.66776389,4,4,2,6,12,3,0,12,0,2,2,0,1,1,4,1,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,"Alabama",1
